Title,Number,Description,Publication,Deadline,Office,Poet,FY
Bid for Office Supplies,REF: AO/001/TNR/2024,Annual supply of office materials,2024-01-15,2024-02-15,TNR,1115.000.152.012,FY24
IT Services Contract,REF: AO/002/BLH/2024,Provision of IT services,2024-02-01,2024-03-01,BLH,12345.679.023.01,FY24
Building Maintenance,REF: AO/003/THB/2024,Regular maintenance of office buildings,2024-03-10,2024-04-10,THB,401501.108.20136,FY24
Vehicle Procurement,REF: AO/004/TLR/2024,Procurement of new company vehicles,2024-04-05,2024-05-05,TLR,401811.101.20335,FY24
Consulting Services,REF: AO/005/TNR/2024,Consulting services for project management,2024-05-20,2024-06-20,TNR,401810.103.20335,FY24
Medical Equipment Supply,REF: AO/006/BLH/2024,Supply of medical equipment to various clinics,2024-06-01,2024-07-01,BLH,401810.102.20335,FY24
Software Development,REF: AO/007/TNR/2024,Custom software development for internal use,2024-07-15,2024-08-15,TNR,401660.103.20233,FY24
Corporate Training,REF: AO/008/THB/2024,Training programs for employees,2024-08-05,2024-09-05,THB,401803.102.20330,FY24
Office Renovation,REF: AO/009/TLR/2024,Renovation of office spaces in the main building,2024-09-10,2024-10-10,TLR,366150.101.20330,FY24
Marketing Campaign,REF: AO/010/TNR/2024,Development and execution of a marketing campaign,2024-10-01,2024-11-01,TNR,100523.101.40001,FY24
Data Analytics Service,REF: AO/011/BLH/2024,Provision of data analytics services,2024-11-15,2024-12-15,BLH,100512.101.40001,FY24
Security Services,REF: AO/012/THB/2024,Security services for all office locations,2024-12-01,2025-01-01,THB,400221.101.10111,FY24
Cloud Storage Solutions,REF: AO/013/TNR/2024,Provision of cloud storage solutions,2024-12-20,2025-01-20,TNR,401660.102.20233,FY24
